"Search query: ((ODE[Title/Abstract]) OR (Ordinary differential \ equation[Title/Abstract])) AND ( (model[Title/Abstract]) OR \ (network[Title/Abstract]) OR (modelling[Title/Abstract]) OR \ (modeling[Title/Abstract]) OR (dynamics[Title/Abstract]) OR (dynamical[Title/Abstract]) OR (system[Title/Abstract]) ) AND (""2010""[Date - Publication] : ""2024""[Date - Publication])"
Year,Count
2024,149
2023,232
2022,229
2021,194
2020,142
2019,157
2018,133
2017,121
2016,121
2015,140
2014,119
2013,106
2012,108
2011,86
2010,67
2009,6
